唉,āi,interjection or grunt of agreement
爱护,ài hù,to cherish
爱惜,ài xī,to cherish
爱心,ài xīn,compassion
安慰,ān wèi,to comfort
安装,ān zhuāng,to install
岸,àn,bank
把握,bǎ wò,to grasp (also fig.)
摆,bǎi,to arrange
班主任,bān zhǔ rèn,teacher in charge of a class
办理,bàn lǐ,to handle
棒,bàng,a stick
傍晚,bàng wǎn,in the evening
包裹,bāo guǒ,wrap up
包含,bāo hán,to contain
包子,bāo zi,steamed stuffed bun
薄,báo,thin
宝贝,bǎo bèi,treasured object
宝贵,bǎo guì,valuable
保持,bǎo chí,to keep
保存,bǎo cún,to conserve
保留,bǎo liú,to retain
保险,bǎo xiǎn,insurance
报告,bào gào,to inform
悲观,bēi guān,pessimistic
被子,bèi zi,quilt
背,bèi,the back of a body or object
背景,bèi jǐng,background
本科,běn kē,undergraduate course
本领,běn lǐng,skill
本质,běn zhì,essence
比例,bǐ lì,proportion
比如,bǐ rú,for example
彼此,bǐ cǐ,each other
必然,bì rán,inevitable
必需,bì xū,to need
必要,bì yào,necessary
毕竟,bì jìng,after all
避免,bì miǎn,to avert
鞭炮,biān pào,firecrackers
编辑,biān jí,to edit
便,biàn,ordinary
辩论,biàn lùn,debate
标点,biāo diǎn,punctuation
标志,biāo zhì,sign
表面,biǎo miàn,surface
表明,biǎo míng,to make clear
表情,biǎo qíng,(facial) expression
表现,biǎo xiàn,to show
丙,bǐng,third of 10 heavenly stems 十天干
病毒,bìng dú,virus
玻璃,bō li,glass
博物馆,bó wù guǎn,museum
脖子,bó zi,neck
不必,bù bì,need not
不断,bù duàn,unceasing
不见得,bù jiàn de,not necessarily
不耐烦,bù nài fán,impatience
不要紧,bù yào jǐn,unimportant
补充,bǔ chōng,to replenish
不安,bù ān,unpeaceful
不得了,bù dé liǎo,desperately serious
不好意思,bù hǎo yì si,to feel embarrassed
不免,bù miǎn,inevitably
不然,bù rán,not so
不如,bù rú,not equal to
不足,bù zú,insufficient
布,bù,cloth
步骤,bù zhòu,procedure
部门,bù mén,department
财产,cái chǎn,property
踩,cǎi,to step on
采访,cǎi fǎng,to interview
采取,cǎi qǔ,to adopt or carry out (measures
彩虹,cǎi hóng,rainbow
