参考,cān kǎo,consultation
参与,cān yù,to participate (in sth)
餐厅,cān tīng,dining hall
残疾,cán jí,disabled
惭愧,cán kuì,ashamed
操场,cāo chǎng,playground
操心,cāo xīn,to worry about
册,cè,book
测验,cè yàn,test
厕所,cè suǒ,toilet
曾经,céng jīng,once
插,chā,to insert
差别,chā bié,difference
叉子,chā zi,fork
拆,chāi,to tear open
产品,chǎn pǐn,goods
产生,chǎn shēng,to arise
长途,cháng tú,long distance
常识,cháng shí,common sense
抄,chāo,to make a copy
朝,cháo,imperial or royal court
朝代,cháo dài,dynasty
炒,chǎo,to sauté
吵架,chǎo jià,to quarrel
车库,chē kù,garage
车厢,chē xiāng,carriage
彻底,chè dǐ,thorough
沉默,chén mò,taciturn
趁,chèn,to avail oneself of
称,chēng,to weigh
称呼,chēng hu,to call
称赞,chēng zàn,to praise
乘,chéng,to ride
承担,chéng dān,to undertake
承认,chéng rèn,to admit
承受,chéng shòu,to bear
成分,chéng fèn,composition
成果,chéng guǒ,result
成就,chéng jiù,accomplishment
成立,chéng lì,to establish
成语,chéng yǔ,Chinese set expression
成长,chéng zhǎng,to mature
程度,chéng dù,degree (level or extent)
程序,chéng xù,procedures
诚恳,chéng kěn,sincere
吃亏,chī kuī,to suffer losses
持续,chí xù,to continue
池子,chí zi,pond
尺子,chǐ zi,rule
翅膀,chì bǎng,wing
冲,chōng,thoroughfare
充电器,chōng diàn qì,battery charger
充分,chōng fèn,ample
充满,chōng mǎn,full of
重复,chóng fù,to repeat
宠物,chǒng wù,house pet
抽屉,chōu ti,drawer
抽象,chōu xiàng,abstract
丑,chǒu,shameful
臭,chòu,stench
出版,chū bǎn,to publish
出口,chū kǒu,an exit
出色,chū sè,remarkable
出席,chū xí,to attend
初级,chū jí,junior
除,chú,to get rid of
除非,chú fēi,only if (...
除夕,chú xī,(New Year's) Eve
处理,chǔ lǐ,to handle
传播,chuán bō,to disseminate
传递,chuán dì,to transmit
传染,chuán rǎn,to infect
传说,chuán shuō,legend
传统,chuán tǒng,tradition
窗帘,chuāng lián,window curtains
闯,chuǎng,to rush
创造,chuàng zào,to create
吹,chuī,to blow
磁带,cí dài,magnetic tape
辞职,cí zhí,to resign
此外,cǐ wài,besides
刺激,cì jī,to provoke
次要,cì yào,secondary
匆忙,cōng máng,hasty
从此,cóng cǐ,from now on
从而,cóng ér,thus
从前,cóng qián,previously
从事,cóng shì,to go for
醋,cù,vinegar
促进,cù jìn,to promote (an idea or cause)
促使,cù shǐ,to induce
催,cuī,to urge
存,cún,to exist
存在,cún zài,to exist
错误,cuò wù,error
措施,cuò shī,measure
答应,dā ying,to promise
达到,dá dào,to reach
打工,dǎ gōng,to work a temporary or casual job
打交道,dǎ jiāo dào,to come into contact with
打喷嚏,dǎ pēn tì,to sneeze
打听,dǎ ting,to ask about
打招呼,dǎ zhāo hu,to greet sb by word or action
大方,dà fang,generous
大象,dà xiàng,elephant
大型,dà xíng,large
呆,dāi,foolish
贷款,dài kuǎn,a loan
待遇,dài yù,treatment
担任,dān rèn,to hold a governmental office or post
单纯,dān chún,simple
单调,dān diào,monotonous
单独,dān dú,alone
单位,dān wèi,a unit
单元,dān yuán,unit
耽误,dān wu,to delay
胆小鬼,dǎn xiǎo guǐ,coward
淡,dàn,insipid
当代,dāng dài,the present age
挡,dǎng,to resist
岛,dǎo,island
倒霉,dǎo méi,to have bad luck
导演,dǎo yǎn,to direct
导致,dǎo zhì,to lead to
倒,dào,to place upside down
到达,dào dá,to reach
道德,dào dé,virtue
道理,dào li,reason
登机牌,dēng jī pái,boarding pass
登记,dēng jì,to register (one's name)
等待,děng dài,to wait
等候,děng hòu,to wait
等于,děng yú,to equal
滴,dī,a drop
的确,dí què,really
敌人,dí rén,enemy
递,dì,to hand over
地道,dì dao,authentic
地理,dì lǐ,geography
地区,dì qū,local
地毯,dì tǎn,carpet
地位,dì wèi,position
地震,dì zhèn,earthquake
点头,diǎn tóu,to nod
点心,diǎn xin,light refreshments
电池,diàn chí,battery
电台,diàn tái,transmitter-receiver
钓,diào,to fish with a hook and bait
丁,dīng,fourth of 10 heavenly stems 十天干
顶,dǐng,apex
冻,dòng,to freeze
洞,dòng,cave
动画片,dòng huà piàn,animated film
逗,dòu,to stay
豆腐,dòu fu,tofu
独立,dú lì,independent
独特,dú tè,unique
度过,dù guò,to pass
短信,duǎn xìn,text message
堆,duī,to pile up
对比,duì bǐ,to contrast
对待,duì dài,to treat
对方,duì fāng,counterpart
对手,duì shǒu,opponent
对象,duì xiàng,target
对于,duì yú,regarding
吨,dūn,ton
蹲,dūn,to crouch
多亏,duō kuī,thanks to
多余,duō yú,superfluous
躲藏,duǒ cáng,to hide oneself
恶劣,è liè,vile
发表,fā biǎo,to issue
发愁,fā chóu,to worry
发达,fā dá,developed (country etc)
发抖,fā dǒu,to tremble
发挥,fā huī,to display
发明,fā míng,to invent
发票,fā piào,invoice
发言,fā yán,to make a speech
罚款,fá kuǎn,(impose a) fine
法院,fǎ yuàn,court of law
翻,fān,to turn over
繁荣,fán róng,prosperous
凡是,fán shì,each and every
反而,fǎn ér,instead
反复,fǎn fù,repeatedly
反应,fǎn yìng,to react
反正,fǎn zhèng,anyway
方,fāng,square
方案,fāng àn,plan
方式,fāng shì,way (of life)
妨碍,fáng ài,to hinder
房东,fáng dōng,landlord
仿佛,fǎng fú,to seem
放松,fàng sōng,to loosen
非,fēi,to not be
肥皂,féi zào,soap
肺,fèi,lung
废话,fèi huà,nonsense
费用,fèi yòng,cost
分别,fēn bié,to part or leave each other
分布,fēn bù,distributed
分配,fēn pèi,to distribute
分析,fēn xī,to analyze
纷纷,fēn fēn,one after another
奋斗,fèn dòu,to strive
愤怒,fèn nù,angry
风格,fēng gé,style
风俗,fēng sú,social custom
风险,fēng xiǎn,risk
疯狂,fēng kuáng,madness
讽刺,fěng cì,to satirize
否定,fǒu dìng,to negate
否认,fǒu rèn,to declare to be untrue
扶,fú,to support with the hand
幅,fú,width
服从,fú cóng,to obey (an order)
服装,fú zhuāng,dress
辅导,fǔ dǎo,to coach
复制,fù zhì,to duplicate
付款,fù kuǎn,to pay a sum of money
妇女,fù nǚ,woman
改革,gǎi gé,reform
改进,gǎi jìn,to improve
改善,gǎi shàn,to make better
改正,gǎi zhèng,to correct
盖,gài,lid
概括,gài kuò,to summarize
概念,gài niàn,concept
干脆,gān cuì,straightforward
感激,gǎn jī,to be grateful
感受,gǎn shòu,to sense
感想,gǎn xiǎng,impressions
赶紧,gǎn jǐn,hurriedly
赶快,gǎn kuài,at once
干活儿,gàn huó r,to work
钢铁,gāng tiě,steel
高档,gāo dàng,superior quality
高速,gāo sù,high speed
搞,gǎo,to do
告别,gào bié,to leave
胳膊,gē bo,arm
鸽子,gē zi,pigeon
隔壁,gé bì,next door
格外,gé wài,especially
革命,gé mìng,revolution
个别,gè bié,individual
个人,gè rén,individual
个性,gè xìng,individuality
各自,gè zì,each
根,gēn,root
根本,gēn běn,fundamental
更加,gèng jiā,more (than sth else)
公布,gōng bù,to announce
公开,gōng kāi,public
公平,gōng píng,fair
公寓,gōng yù,apartment building
公元,gōng yuán,CE (Common Era)
公主,gōng zhǔ,princess
工厂,gōng chǎng,factory
工程师,gōng chéng shī,engineer
工人,gōng rén,worker
工业,gōng yè,industry
功夫,gōng fu,skill
功能,gōng néng,function
贡献,gòng xiàn,to contribute
沟通,gōu tōng,to join
构成,gòu chéng,to constitute
姑姑,gū gu,paternal aunt
姑娘,gū niang,girl
古代,gǔ dài,ancient times
古典,gǔ diǎn,classical
古老,gǔ lǎo,ancient
股票,gǔ piào,share
鼓舞,gǔ wǔ,heartening (news)
骨头,gǔ tou,bone
固定,gù dìng,fixed
固体,gù tǐ,solid
雇佣,gù yōng,to employ
挂号,guà hào,to register (a letter etc)
乖,guāi,(of a child) obedient
拐弯,guǎi wān,to go round a curve
怪不得,guài bu de,no wonder!
关闭,guān bì,to close
关怀,guān huái,care
官,guān,official
观察,guān chá,to observe
观点,guān diǎn,point of view
观念,guān niàn,notion
管子,guǎn zi,tube
罐头,guàn tou,tin
冠军,guàn jūn,champion
光滑,guāng hua,glossy
光临,guāng lín,(honorific) Welcome!
光明,guāng míng,light
光盘,guāng pán,compact disc
光荣,guāng róng,honor and glory
广场,guǎng chǎng,public square
广大,guǎng dà,(of an area) vast or extensive
广泛,guǎng fàn,extensive
规矩,guī ju,lit. compass and set square
规律,guī lǜ,rule (e.g. of science)
规模,guī mó,scale
规则,guī zé,rule
柜台,guì tái,sales counter
滚,gǔn,to boil
锅,guō,pot
国籍,guó jí,nationality
国庆节,Guó qìng jié,PRC National Day (October 1st)
果实,guǒ shí,fruit
过分,guò fèn,excessive
过敏,guò mǐn,to be allergic
过期,guò qī,to be overdue
哈,hā,laughter
海关,hǎi guān,customs (i.e. border crossing inspection)
海鲜,hǎi xiān,seafood
喊,hǎn,to yell
行业,háng yè,industry
豪华,háo huá,luxurious
好奇,hào qí,inquisitive
和平,hé píng,peace
何必,hé bì,there is no need
何况,hé kuàng,let alone
合法,hé fǎ,lawful
合理,hé lǐ,rational
合同,hé tong,(business) contract
合影,hé yǐng,joint photo
合作,hé zuò,to cooperate
核心,hé xīn,core
恨,hèn,to hate
横,héng,horizontal
后果,hòu guǒ,consequences
忽视,hū shì,to neglect
呼吸,hū xī,to breathe
壶,hú,pot
蝴蝶,hú dié,butterfly
胡说,hú shuō,to talk nonsense
胡同,hú tòng,variant of 胡同[hú tòng]
胡须,hú xū,beard
糊涂,hú tu,muddled
花生,huā shēng,peanut
滑冰,huá bīng,to skate
划船,huá chuán,to row a boat
华裔,Huá yì,ethnic Chinese
化学,huà xué,chemistry
话题,huà tí,subject (of a talk or conversation)
怀念,huái niàn,to cherish the memory of
缓解,huǎn jiě,to blunt
幻想,huàn xiǎng,delusion
慌张,huāng zhāng,confused
黄瓜,huáng guā,cucumber
黄金,huáng jīn,gold
皇帝,huáng dì,emperor
皇后,huáng hòu,empress
灰,huī,ash
灰尘,huī chén,dust
灰心,huī xīn,to lose heart
挥,huī,to wave
恢复,huī fù,to reinstate
汇率,huì lǜ,exchange rate
婚礼,hūn lǐ,wedding ceremony
婚姻,hūn yīn,matrimony
活跃,huó yuè,active
火柴,huǒ chái,match (for lighting fire)
伙伴,huǒ bàn,partner
基本,jī běn,basic
机器,jī qì,machine
激烈,jī liè,intense
肌肉,jī ròu,muscle
及格,jí gé,to pass a test
急忙,jí máng,hastily
集体,jí tǐ,collective
集中,jí zhōng,to concentrate
记录,jì lù,to record
记忆,jì yì,to remember
计算,jì suàn,to count
寂寞,jì mò,lonely
系领带,jì lǐng dài,to tie one's necktie
纪录,jì lù,record
纪律,jì lǜ,discipline
纪念,jì niàn,to commemorate
家庭,jiā tíng,family
家务,jiā wù,household duties
家乡,jiā xiāng,hometown
嘉宾,jiā bīn,esteemed guest
夹子,jiā zi,clip
甲,jiǎ,first of the ten heavenly stems 十天干[shí tiān gān]
假如,jiǎ rú,if
假装,jiǎ zhuāng,to feign
嫁,jià,(of a woman) to marry
价值,jià zhí,value
驾驶,jià shǐ,to pilot (ship
煎,jiān,to pan fry
肩膀,jiān bǎng,shoulder
坚决,jiān jué,firm
坚强,jiān qiáng,staunch
尖锐,jiān ruì,sharp
艰巨,jiān jù,arduous
艰苦,jiān kǔ,difficult
捡,jiǎn,to pick up
剪刀,jiǎn dāo,scissors
简历,jiǎn lì,Curriculum Vitae (CV)
简直,jiǎn zhí,simply
健身房,jiàn shēn fáng,gym
建立,jiàn lì,to establish
建设,jiàn shè,to build
建议,jiàn yì,to propose
建筑,jiàn zhù,to construct
键盘,jiàn pán,keyboard
讲究,jiǎng jiu,to pay particular attention to
讲座,jiǎng zuò,a course of lectures
降落,jiàng luò,to descend
酱油,jiàng yóu,soy sauce
浇,jiāo,to pour liquid
交换,jiāo huàn,to exchange
交际,jiāo jì,communication
郊区,jiāo qū,suburban district
胶水,jiāo shuǐ,glue
角度,jiǎo dù,angle
狡猾,jiǎo huá,crafty
教材,jiào cái,teaching material
教练,jiào liàn,instructor
教训,jiào xun,lesson
接触,jiē chù,to touch
接待,jiē dài,to receive (a visitor)
接近,jiē jìn,to approach
接着,jiē zhe,to catch and hold on
阶段,jiē duàn,stage
结实,jiē shi,rugged
节,jié,festival
节省,jié shěng,saving
结构,jié gòu,structure
结合,jié hé,to combine
结论,jié lùn,conclusion
结账,jié zhàng,to pay the bill
解放,jiě fàng,to liberate
解说员,jiě shuō yuán,commentator
届,jiè,to arrive at (place or time)
借口,jiè kǒu,to use as an excuse
戒烟,jiè yān,to give up smoking
戒指,jiè zhi,(finger) ring
金属,jīn shǔ,metal
紧,jǐn,tight
紧急,jǐn jí,urgent
尽量,jǐn liàng,as much as possible
谨慎,jǐn shèn,cautious
进步,jìn bù,progress
进口,jìn kǒu,to import
近代,jìn dài,modern times
尽力,jìn lì,to strive one's hardest
精力,jīng lì,energy
经典,jīng diǎn,the classics
经营,jīng yíng,to engage in (business etc)
景色,jǐng sè,scenery
敬爱,jìng ài,respect and love
酒吧,jiǔ bā,bar
救,jiù,to save
救护车,jiù hù chē,ambulance
舅舅,jiù jiu,mother's brother
居然,jū rán,unexpectedly
桔子,jú zi,tangerine
举,jǔ,to lift
具备,jù bèi,to possess
具体,jù tǐ,concrete
巨大,jù dà,huge
聚会,jù huì,party
俱乐部,jù lè bù,club (i.e. a group or organization) (loanword)
据说,jù shuō,it is said that
捐,juān,to contribute
卷,juǎn,to roll (up)
决赛,jué sài,finals (of a competition)
决心,jué xīn,determination
绝对,jué duì,absolute
角色,jué sè,role
军事,jūn shì,military affairs
均匀,jūn yún,even
卡车,kǎ chē,truck
开发,kāi fā,to exploit (a resource)
开放,kāi fàng,to bloom
开幕式,kāi mù shì,opening ceremony
开心,kāi xīn,to feel happy
砍,kǎn,to chop
看不起,kàn bu qǐ,to look down upon
看来,kàn lai,apparently
抗议,kàng yì,to protest
烤鸭,kǎo yā,roast duck
颗,kē,classifier for small spheres
可见,kě jiàn,it can clearly be seen (that this is the case)
可靠,kě kào,reliable
可怕,kě pà,awful
刻苦,kè kǔ,hardworking
课程,kè chéng,course
克,kè,variant of 克[kè]
克服,kè fú,(try to) overcome (hardships etc)
客观,kè guān,objective
客厅,kè tīng,drawing room (room for arriving guests)
空间,kōng jiān,space
恐怖,kǒng bù,terrible
空闲,kòng xián,idle
控制,kòng zhì,control
口味,kǒu wèi,a person's preferences
夸,kuā,to boast
会计,kuài jì,accountant
矿泉水,kuàng quán shuǐ,mineral spring water
辣椒,là jiāo,hot pepper
蜡烛,là zhú,candle
来自,lái zì,to come from (a place)
拦,lán,to cut off
烂,làn,soft
狼,láng,wolf
劳动,láo dòng,work
劳驾,láo jià,excuse me
老百姓,lǎo bǎi xìng,ordinary people
老板,lǎo bǎn,boss
老实,lǎo shí,honest
老鼠,lǎo shǔ,rat
姥姥,lǎo lao,(informal) mother's mother
乐观,lè guān,optimistic
雷,léi,thunder
类,lèi,kind
梨,lí,pear
离婚,lí hūn,to divorce
厘米,lí mǐ,centimeter
礼拜天,lǐ bài tiān,Sunday
理论,lǐ lùn,theory
理由,lǐ yóu,reason
粒,lì,grain
立方,lì fāng,cube
立即,lì jí,immediately
立刻,lì kè,forthwith
力量,lì liang,power
利润,lì rùn,profits
利息,lì xī,interest (on a loan)
利益,lì yì,benefit
利用,lì yòng,exploit
连忙,lián máng,promptly
连续剧,lián xù jù,serialized drama
联合,lián hé,to combine
恋爱,liàn ài,(romantic) love
良好,liáng hǎo,good
粮食,liáng shi,foodstuff
了不起,liǎo bu qǐ,amazing
临时,lín shí,at the instant sth happens
铃,líng,(small) bell
零件,líng jiàn,part
零钱,líng qián,change (of money)
零食,líng shí,between-meal nibbles
灵活,líng huó,flexible
领导,lǐng dǎo,lead
领域,lǐng yù,domain
流传,liú chuán,to spread
浏览,liú lǎn,to skim over
龙,lóng,dragon
漏,lòu,to leak
露,lù,dew
陆地,lù dì,dry land (as opposed to the sea)
陆续,lù xù,in turn
录取,lù qǔ,to recruit
录音,lù yīn,to record (sound)
轮流,lún liú,to alternate
论文,lùn wén,paper
逻辑,luó ji,logic (loanword)
落后,luò hòu,to fall behind
骂,mà,to scold
麦克风,mài kè fēng,microphone (loanword)
馒头,mán tou,steamed roll
满足,mǎn zú,to satisfy
毛,máo,hair
毛病,máo bìng,fault
矛盾,máo dùn,contradictory
冒险,mào xiǎn,to take risks
贸易,mào yì,(commercial) trade
眉毛,méi mao,eyebrow
煤炭,méi tàn,coal
美术,měi shù,art
魅力,mèi lì,charm
迷路,mí lù,to lose the way
谜语,mí yǔ,riddle
密切,mì qiè,close
蜜蜂,mì fēng,bee
秘密,mì mì,secret
秘书,mì shū,secretary
棉花,mián hua,cotton
面对,miàn duì,to confront
面积,miàn ji,area (of a floor
面临,miàn lín,to face sth
描写,miáo xiě,to describe
苗条,miáo tiáo,slim
秒,miǎo,second (of time)
民主,mín zhǔ,democracy
明确,míng què,clear-cut
明显,míng xiǎn,clear
明信片,míng xìn piàn,postcard
明星,míng xīng,star
名牌,míng pái,famous brand
名片,míng piàn,(business) card
名胜,míng shèng,a place famous for its scenery or historical relics
命令,mìng lìng,order
命运,mìng yùn,fate
摸,mō,to feel with the hand
摩托车,mó tuō chē,motorbike
模仿,mó fǎng,to imitate
模糊,mó hu,vague
陌生,mò shēng,strange
某,mǒu,some
目标,mù biāo,target
目录,mù lù,catalog
目前,mù qián,at the present time
木头,mù tou,slow-witted
哪怕,nǎ pà,even
难怪,nán guài,(it's) no wonder (that...)
难看,nán kàn,ugly
脑袋,nǎo dài,head
内科,nèi kē,internal medicine
嫩,nèn,tender
能干,néng gàn,capable
能源,néng yuán,energy
年代,nián dài,a decade of a century (e.g. the Sixties)
年纪,nián jì,age
念,niàn,to read
宁可,nìng kě,preferably
牛仔裤,niú zǎi kù,jeans
浓,nóng,concentrated
农民,nóng mín,peasant
农业,nóng yè,agriculture
女士,nǚ shì,lady
偶然,ǒu rán,incidentally
拍,pāi,to pat
排队,pái duì,to line up
排球,pái qiú,volleyball
派,pài,clique
盼望,pàn wàng,to hope for
赔偿,péi cháng,to compensate
培养,péi yǎng,to cultivate
配合,pèi hé,matching
佩服,pèi fú,to admire
盆,pén,basin
碰见,pèng jiàn,to run into
披,pī,to drape over one's shoulders
批,pī,to ascertain
批准,pī zhǔn,to approve
疲劳,pí láo,fatigue
皮鞋,pí xié,leather shoes
匹,pǐ,classifier for horses
片,piàn,thin piece
片面,piàn miàn,unilateral
飘,piāo,to float
频道,pín dào,frequency
品种,pǐn zhǒng,breed
凭,píng,to lean against
平,píng,flat
平常,píng cháng,ordinary
平等,píng děng,equal
平方,píng fāng,square (as in square foot
平衡,píng héng,balance
平静,píng jìng,tranquil
平均,píng jūn,average
评价,píng jià,to evaluate
破产,pò chǎn,to go bankrupt
破坏,pò huài,destruction
迫切,pò qiè,urgent
朴素,pǔ sù,plain and simple
期待,qī dài,to look forward to
期间,qī jiān,period of time
其余,qí yú,the rest
奇迹,qí jì,miracle
启发,qǐ fā,to enlighten
企图,qǐ tú,to attempt
企业,qǐ yè,company
气氛,qì fēn,atmosphere
汽油,qì yóu,gasoline
牵,qiān,to pull (an animal on a tether)
签字,qiān zì,to sign (a signature)
谦虚,qiān xū,modest
前途,qián tú,prospects
浅,qiǎn,shallow
欠,qiàn,deficient
枪,qiāng,gun
强调,qiáng diào,to emphasize (a statement)
强烈,qiáng liè,intense
抢,qiǎng,to fight over
悄悄,qiāo qiāo,quietly
瞧,qiáo,to look at
巧妙,qiǎo miào,ingenious
切,qiē,to cut
亲爱,qīn ài,dear
亲切,qīn qiè,amiable
亲自,qīn zì,personally
侵略,qīn lvè,invasion
勤奋,qín fèn,hardworking
勤劳,qín láo,hardworking
青,qīng,nature's color
青春,qīng chūn,youth
青少年,qīng shào nián,adolescent
轻视,qīng shì,contempt
清淡,qīng dàn,light (of food
情景,qíng jǐng,scene
情绪,qíng xù,mood
请求,qǐng qiú,request
庆祝,qìng zhù,to celebrate
球迷,qiú mí,soccer fan
趋势,qū shì,trend
娶,qǔ,to take a wife
取消,qǔ xiāo,to cancel
去世,qù shì,to pass away
圈,quān,circle
全面,quán miàn,all-around
权力,quán lì,power
权利,quán lì,power
劝,quàn,to advise
缺乏,quē fá,shortage
确定,què dìng,definite
确认,què rèn,to confirm
燃烧,rán shāo,to ignite
嚷,rǎng,blurt out
绕,rào,to wind
热爱,rè ài,to love ardently
热烈,rè liè,warm (welcome etc)
热心,rè xīn,enthusiasm
人才,rén cái,a person's talent
人口,rén kǒu,population
人类,rén lèi,humanity
人生,rén shēng,life (one's time on earth)
人事,rén shì,human affairs
人物,rén wù,person
人员,rén yuán,staff
忍不住,rěn bu zhù,cannot help
日常,rì cháng,daily
日程,rì chéng,schedule
日历,rì lì,calendar
日期,rì qī,date
日用品,rì yòng pǐn,articles for daily use
融化,róng huà,to melt
荣幸,róng xìng,honored
荣誉,róng yù,honor
如何,rú hé,how
如今,rú jīn,nowadays
软件,ruǎn jiàn,(computer) software
弱,ruò,weak
洒,sǎ,to sprinkle
嗓子,sǎng zi,throat
杀,shā,to kill
沙漠,shā mò,desert
沙滩,shā tān,beach
傻,shǎ,foolish
晒,shài,to dry in the sun
删除,shān chú,to delete
闪电,shǎn diàn,lightning
善良,shàn liáng,good and honest
善于,shàn yú,to be good at
扇子,shān zi,fan
商品,shāng pǐn,good
商业,shāng yè,business
上当,shàng dàng,taken in (by sb's deceit)
勺子,sháo zi,scoop
蛇,shé,snake
舌头,shé tou,tongue
舍不得,shě bu de,to hate to do sth
设备,shè bèi,equipment
设计,shè jì,plan
设施,shè shī,facilities
射击,shè jī,to shoot
摄影,shè yǐng,to take a photograph
伸,shēn,to stretch
深刻,shēn kè,profound
身材,shēn cái,stature
身份,shēn fèn,identity
神话,shén huà,legend
神经,shén jīng,nerve
神秘,shén mì,mysterious
升,shēng,variant of 升[shēng]
生产,shēng chǎn,childbirth
生动,shēng dòng,vivid
声调,shēng diào,tone
绳子,shéng zi,cord
省略,shěng lvè,to leave out
胜利,shèng lì,victory
诗,shī,poem
失眠,shī mián,to suffer from insomnia
失去,shī qù,to lose
失业,shī yè,unemployment
时代,shí dài,age
时刻,shí kè,moment
时髦,shí máo,in vogue
时期,shí qī,period
时尚,shí shàng,fashion
实话,shí huà,truth
实践,shí jiàn,to practice
实习,shí xí,to practice
实现,shí xiàn,to achieve
实行,shí xíng,to implement
实验,shí yàn,experiment
实用,shí yòng,practical
食物,shí wù,food
石头,shí tou,stone
使劲儿,shǐ jìn ér,Rearing
始终,shǐ zhōng,from beginning to end
是否,shì fǒu,whether (or not)
试卷,shì juàn,examination paper
士兵,shì bīng,soldier
似的,shì de,seems as if
事实,shì shí,fact
事物,shì wù,thing
事先,shì xiān,in advance
收获,shōu huò,to harvest
收据,shōu jù,receipt
手工,shǒu gōng,handwork
手术,shǒu shù,(surgical) operation
手套,shǒu tào,glove
手续,shǒu xù,procedure
手指,shǒu zhǐ,finger
受伤,shòu shāng,to sustain injuries
寿命,shòu mìng,life span
书架,shū jià,bookshelf
输入,shū rù,to import
蔬菜,shū cài,vegetables
舒适,shū shì,cozy
梳子,shū zi,comb
熟练,shú liàn,practiced
鼠标,shǔ biāo,mouse (computing)
属于,shǔ yú,to be classified as
数据,shù jù,data
数码,shù mǎ,number
摔,shuāi,to throw down
甩,shuǎi,to throw
双方,shuāng fāng,bilateral
税,shuì,taxes
说不定,shuō bu dìng,can't say for sure
说服,shuō fú,to persuade
撕,sī,to tear
丝绸,sī chóu,silk cloth
丝毫,sī háo,the slightest amount or degree
思考,sī kǎo,to reflect on
思想,sī xiǎng,thought
私人,sī rén,private
似乎,sì hū,apparently
寺庙,sì miào,temple
宿舍,sù shè,dormitory
随时,suí shí,at any time
碎,suì,to break down
损失,sǔn shī,loss
缩短,suō duǎn,to curtail
缩小,suō xiǎo,to reduce
锁,suǒ,to lock up
所,suǒ,actually
所谓,suǒ wèi,so-called
塔,tǎ,pagoda
台阶,tái jiē,steps
太极拳,tài jí quán,shadowboxing or Taiji
太太,tài tai,married woman
谈判,tán pàn,to negotiate
坦率,tǎn shuài,frank (discussion)
烫,tàng,to scald
桃,táo,peach
逃,táo,to escape
逃避,táo bì,to escape
套,tào,cover
特殊,tè shū,special
特意,tè yì,specially
特征,tè zhēng,characteristic
疼爱,téng ài,to love dearly
提,tí,to carry (hanging down from the hand)
提倡,tí chàng,to promote
提纲,tí gāng,the key point
提问,tí wèn,to question
题目,tí mù,subject
体会,tǐ huì,to know from experience
体积,tǐ jī,volume
体贴,tǐ tiē,considerate (of other people's needs)
体现,tǐ xiàn,to embody
体验,tǐ yàn,to experience for oneself
天空,tiān kōng,sky
天真,tiān zhēn,naive
田野,tián yě,field
调皮,tiáo pí,naughty
调整,tiáo zhěng,to adjust
挑战,tiǎo zhàn,to challenge
通常,tōng cháng,regular
通讯,tōng xùn,communications
铜,tóng,copper (chemistry)
同时,tóng shí,at the same time
统一,tǒng yī,to unify
统治,tǒng zhì,to rule (a country)
痛苦,tòng kǔ,pain
痛快,tòng kuài,overjoyed
投资,tóu zī,investment
透明,tòu míng,transparent
突出,tū chū,prominent
土地,tǔ dì,land
土豆,tǔ dòu,potato
吐,tù,to vomit
兔子,tù zi,hare
团,tuán,dumpling
推辞,tuī cí,to decline (an appointment
推广,tuī guǎng,to extend
推荐,tuī jiàn,to recommend
退,tuì,to retreat
退步,tuì bù,to do less well than before
退休,tuì xiū,to retire
歪,wāi,askew
外交,wài jiāo,diplomacy
弯,wān,bend
